cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	neuron_type	sh	unstable
352	1164.80000000	500.00000000	mua	87.21865082	31	320.00000000	0.04656613		186		0	
353	1153.80000000	326.60000000	mua	94.82712555	33	340.00000000	0.13469129		538		0	
354	1025.40000000	65.60000000	mua	76.11746979	31	320.00000000	0.06434138		257		0	
355	1695.10000000	0.00000000	mua	126.67919159	33	340.00000000	0.03705262		148		0	
356	2284.30000000	357.10000000	mua	188.91598511	35	360.00000000	0.03555049		142		0	
357	1348.60000000	152.70000000	mua	114.78334045	44	460.00000000	0.85496423		3415		0	
358	1618.20000000	139.30000000	mua	137.37275696	46	480.00000000	0.04431293		177		0	
359	1189.20000000	100.00000000	good	140.57261658	46	480.00000000	0.01026458		41		0	
360	3157.60000000	23.10000000	mua	158.79428101	46	480.00000000	7.97157129	mua	31841		0	
361	2298.20000000	257.60000000	mua	135.11926270	46	480.00000000	1.02795992		4106		0	
362	1293.00000000	499.00000000	mua	108.45117188	46	480.00000000	0.02203129		88		0	
363	1657.40000000	6.70000000	good	108.63571167	46	480.00000000	3.82067616		15261		0	
364	1516.60000000	170.70000000	mua	106.95778656	50	520.00000000	0.35650631		1424		0	
365	1944.10000000	153.00000000	mua	89.90652466	48	500.00000000	0.18801702		751		0	
